entrance,video_name,gt_frame_id,section,direction,class_name,lane_id,track_id,vehicle_label,note
北进口,北进口_20260420075959至20260420081500.mp4,0,北进口主断面,离去,car,opposite,NC002,小汽车,
北进口,北进口_20260420075959至20260420081500.mp5,108,北进口主断面,离去,non_motor,opposite,N001,电动车,
北进口,北进口_20260420075959至20260420081500.mp6,113,北进口主断面,到达,non_motor,L4,N002,电动车,
北进口,北进口_20260420075959至20260420081500.mp7,113,北进口主断面,到达,non_motor,L3,N003,电动车,
北进口,北进口_20260420075959至20260420081500.mp8,114,北进口主断面,离去,non_motor,opposite,N004,电动车,
北进口,北进口_20260420075959至20260420081500.mp9,141,北进口右转,到达,car,L1,NC003,面包车,
北进口,北进口_20260420075959至20260420081500.mp10,153,北进口主断面,离去,non_motor,opposite,N005,电动车,
北进口,北进口_20260420075959至20260420081500.mp11,162,北进口主断面,离去,non_motor,opposite,N006,电动车,
北进口,北进口_20260420075959至20260420081500.mp12,185,北进口右转,到达,car,L1,NC004,面包车,
北进口,北进口_20260420075959至20260420081500.mp13,229,北进口主断面,到达,non_motor,L1,N007,电动车,
北进口,北进口_20260420075959至20260420081500.mp14,245,北进口主断面,到达,non_motor,L4,N008,电动车,
北进口,北进口_20260420075959至20260420081500.mp16,269,北进口掉头车道,到达,non_motor,L1,N003,电动车,
北进口,北进口_20260420075959至20260420081500.mp17,353,北进口主断面,离去,non_motor,opposite,N010,电动车,
北进口,北进口_20260420075959至20260420081500.mp19,382,北进口主断面,离去,car,opposite,NC005,小汽车,
北进口,北进口_20260420075959至20260420081500.mp20,389,北进口掉头车道,到达,non_motor,L1,N007,电动车,
北进口,北进口_20260420075959至20260420081500.mp22,393,北进口主断面,离去,non_motor,opposite,N012,电动车,
北进口,北进口_20260420075959至20260420081500.mp23,428,北进口主断面,到达,non_motor,L4,N013,电动车,
北进口,北进口_20260420075959至20260420081500.mp24,436,北进口主断面,离去,truck,opposite,NT001,货运皮卡,
北进口,北进口_20260420075959至20260420081500.mp25,474,北进口主断面,到达,non_motor,L4,N014,电动车,
北进口,北进口_20260420075959至20260420081500.mp26,521,北进口主断面,离去,car,opposite,NC006,小汽车,
北进口,北进口_20260420075959至20260420081500.mp27,605,北进口主断面,到达,non_motor,L3,N015,电动车,
北进口,北进口_20260420075959至20260420081500.mp28,654,北进口主断面,到达,non_motor,L4,N016,电动车,
北进口,北进口_20260420075959至20260420081500.mp29,695,北进口主断面,到达,non_motor,L3,N017,电动车,
北进口,北进口_20260420075959至20260420081500.mp30,706,北进口主断面,离去,non_motor,opposite,N018,电动车,
北进口,北进口_20260420075959至20260420081500.mp31,742,北进口主断面,到达,non_motor,L4,N019,电动车,
北进口,北进口_20260420075959至20260420081500.mp32,742,北进口主断面,到达,non_motor,L3,N020,电动车,
北进口,北进口_20260420075959至20260420081500.mp33,815,北进口主断面,到达,non_motor,L4,N021,电动车,
北进口,北进口_20260420075959至20260420081500.mp34,815,北进口主断面,到达,non_motor,L3,N022,电动车,
北进口,北进口_20260420075959至20260420081500.mp36,894,北进口主断面,到达,non_motor,L1,N024,三轮车,
北进口,北进口_20260420075959至20260420081500.mp37,937,北进口主断面,到达,non_motor,L4,N025,电动车,
北进口,北进口_20260420075959至20260420081500.mp38,945,北进口主断面,到达,car,L1,NC007,面包车,
北进口,北进口_20260420075959至20260420081500.mp39,945,北进口主断面,到达,car,L2,NC008,面包车,
北进口,北进口_20260420075959至20260420081500.mp40,981,北进口主断面,离去,non_motor,opposite,N026,电动车,
北进口,北进口_20260420075959至20260420081500.mp41,998,北进口主断面,到达,non_motor,L4,N027,电动车,
北进口,北进口_20260420075959至20260420081500.mp42,1020,北进口主断面,到达,car,L2,NC009,小汽车,
北进口,北进口_20260420075959至20260420081500.mp43,1020,北进口主断面,到达,non_motor,L4,N028,电动车,
北进口,北进口_20260420075959至20260420081500.mp44,1038,北进口主断面,离去,car,opposite,NC010,小汽车,
北进口,北进口_20260420075959至20260420081500.mp45,1038,北进口主断面,离去,non_motor,opposite,N029,电动车,
北进口,北进口_20260420075959至20260420081500.mp46,1064,北进口主断面,到达,bus,L3,NB001,公交车,
北进口,北进口_20260420075959至20260420081500.mp47,1080,北进口主断面,离去,car,opposite,NC011,小汽车,
北进口,北进口_20260420075959至20260420081500.mp48,1085,北进口主断面,到达,non_motor,L4,N030,电动车,
北进口,北进口_20260420075959至20260420081500.mp49,1097,北进口主断面,到达,non_motor,L1,N031,三轮车,
北进口,北进口_20260420075959至20260420081500.mp50,1106,北进口掉头车道,到达,non_motor,L1,N024,三轮车,
北进口,北进口_20260420075959至20260420081500.mp51,1120,北进口主断面,到达,car,L2,NC012,小汽车,
北进口,北进口_20260420075959至20260420081500.mp52,1168,北进口主断面,到达,car,L2,NC013,小汽车,
北进口,北进口_20260420075959至20260420081500.mp53,1190,北进口主断面,到达,non_motor,L4,N032,电动车,
北进口,北进口_20260420075959至20260420081500.mp54,1228,北进口主断面,到达,non_motor,L4,N033,电动车,
北进口,北进口_20260420075959至20260420081500.mp55,1254,北进口主断面,离去,non_motor,opposite,N034,电动车,
北进口,北进口_20260420075959至20260420081500.mp56,1281,北进口主断面,到达,car,L2,NC014,小汽车,
北进口,北进口_20260420075959至20260420081500.mp57,1294,北进口主断面,离去,non_motor,opposite,N035,电动车,
北进口,北进口_20260420075959至20260420081500.mp58,1304,北进口主断面,到达,non_motor,L4,N036,电动车,
北进口,北进口_20260420075959至20260420081500.mp59,1308,北进口主断面,到达,non_motor,L4,N037,电动车,
北进口,北进口_20260420075959至20260420081500.mp60,1329,北进口主断面,到达,non_motor,L4,N038,电动车,
北进口,北进口_20260420075959至20260420081500.mp61,1335,北进口主断面,离去,non_motor,opposite,N039,电动车,
北进口,北进口_20260420075959至20260420081500.mp62,1367,北进口主断面,离去,non_motor,opposite,N040,电动车,
北进口,北进口_20260420075959至20260420081500.mp63,1372,北进口主断面,到达,non_motor,L4,N041,电动车,
北进口,北进口_20260420075959至20260420081500.mp64,1381,北进口主断面,离去,non_motor,opposite,N042,电动车,
北进口,北进口_20260420075959至20260420081500.mp65,1384,北进口主断面,到达,non_motor,L4,N043,电动车,
北进口,北进口_20260420075959至20260420081500.mp66,1392,北进口主断面,离去,non_motor,opposite,N044,电动车,
北进口,北进口_20260420075959至20260420081500.mp67,1410,北进口主断面,到达,non_motor,L4,N045,电动车,
北进口,北进口_20260420075959至20260420081500.mp68,1415,北进口主断面,到达,non_motor,L4,N046,电动车,
北进口,北进口_20260420075959至20260420081500.mp69,1418,北进口主断面,离去,non_motor,opposite,N047,电动车,
北进口,北进口_20260420075959至20260420081500.mp70,1418,北进口主断面,离去,non_motor,opposite,N048,电动车,
北进口,北进口_20260420075959至20260420081500.mp71,1440,北进口主断面,到达,car,L3,NC015,小汽车,
北进口,北进口_20260420075959至20260420081500.mp72,1442,北进口主断面,到达,non_motor,L4,N049,电动车,
北进口,北进口_20260420075959至20260420081500.mp73,1445,北进口主断面,离去,non_motor,opposite,N050,电动车,
北进口,北进口_20260420075959至20260420081500.mp74,1462,北进口主断面,到达,car,L2,NC016,小汽车,
北进口,北进口_20260420075959至20260420081500.mp75,1478,北进口主断面,离去,non_motor,opposite,N051,电动车,
北进口,北进口_20260420075959至20260420081500.mp76,1499,北进口主断面,离去,non_motor,opposite,N052,电动车,
北进口,北进口_20260420075959至20260420081500.mp77,1513,北进口主断面,离去,non_motor,opposite,N053,电动车,
北进口,北进口_20260420075959至20260420081500.mp78,1533,北进口主断面,到达,car,L3,NC017,小汽车,
北进口,北进口_20260420075959至20260420081500.mp79,1557,北进口主断面,到达,non_motor,L4,N054,电动车,
北进口,北进口_20260420075959至20260420081500.mp80,1580,北进口主断面,到达,non_motor,L4,N055,电动车,
北进口,北进口_20260420075959至20260420081500.mp81,1606,北进口主断面,到达,non_motor,L4,N056,电动车,
北进口,北进口_20260420075959至20260420081500.mp82,1615,北进口主断面,离去,non_motor,opposite,N057,电动车,
北进口,北进口_20260420075959至20260420081500.mp83,1623,北进口主断面,离去,car,opposite,NC019,小汽车,
北进口,北进口_20260420075959至20260420081500.mp84,1665,北进口主断面,到达,non_motor,L4,N058,电动车,
北进口,北进口_20260420075959至20260420081500.mp85,1681,北进口主断面,离去,non_motor,opposite,N059,电动车,
北进口,北进口_20260420075959至20260420081500.mp86,1688,北进口主断面,离去,car,opposite,NC020,小汽车,
北进口,北进口_20260420075959至20260420081500.mp87,1688,北进口主断面,离去,non_motor,opposite,N060,电动车,
北进口,北进口_20260420075959至20260420081500.mp88,1698,北进口主断面,到达,car,L2,NC018,小汽车,
北进口,北进口_20260420075959至20260420081500.mp89,1724,北进口主断面,到达,non_motor,L4,N061,电动车,
北进口,北进口_20260420075959至20260420081500.mp90,1730,北进口主断面,到达,car,L3,NC021,小汽车,
北进口,北进口_20260420075959至20260420081500.mp91,1740,北进口主断面,离去,non_motor,opposite,N062,电动车,
北进口,北进口_20260420075959至20260420081500.mp92,1757,北进口主断面,到达,car,L2,NC022,小汽车,
北进口,北进口_20260420075959至20260420081500.mp93,1765,北进口主断面,离去,non_motor,opposite,N063,电动车,
北进口,北进口_20260420075959至20260420081500.mp94,1773,北进口主断面,离去,car,opposite,NC023,小汽车,
北进口,北进口_20260420075959至20260420081500.mp95,1780,北进口主断面,到达,car,L3,NC024,小汽车,
北进口,北进口_20260420075959至20260420081500.mp96,1788,北进口主断面,离去,non_motor,opposite,N064,电动车,
北进口,北进口_20260420075959至20260420081500.mp97,1814,北进口主断面,离去,car,opposite,NC025,小汽车,
北进口,北进口_20260420075959至20260420081500.mp98,1814,北进口主断面,离去,non_motor,opposite,N065,电动车,
北进口,北进口_20260420075959至20260420081500.mp99,1814,北进口主断面,离去,truck,opposite,NT002,货运皮卡,
北进口,北进口_20260420075959至20260420081500.mp100,1823,北进口主断面,离去,non_motor,opposite,N066,电动车,
北进口,北进口_20260420075959至20260420081500.mp101,1830,北进口主断面,到达,car,L2,NC026,小汽车,
北进口,北进口_20260420075959至20260420081500.mp102,1830,北进口主断面,到达,truck,L1,NT003,货车,
北进口,北进口_20260420075959至20260420081500.mp103,1845,北进口主断面,离去,car,opposite,NC027,小汽车,
北进口,北进口_20260420075959至20260420081500.mp104,1889,北进口主断面,离去,non_motor,opposite,N067,电动车,
北进口,北进口_20260420075959至20260420081500.mp105,1897,北进口主断面,离去,non_motor,opposite,N068,电动车,
北进口,北进口_20260420075959至20260420081500.mp106,1904,北进口主断面,到达,car,L2,NC028,小汽车,
北进口,北进口_20260420075959至20260420081500.mp107,1907,北进口主断面,到达,non_motor,L4,N069,电动车,
北进口,北进口_20260420075959至20260420081500.mp108,1910,北进口主断面,离去,car,opposite,NC029,小汽车,
北进口,北进口_20260420075959至20260420081500.mp109,1910,北进口主断面,离去,car,opposite,NC030,小汽车,
北进口,北进口_20260420075959至20260420081500.mp110,1916,北进口主断面,到达,car,L2,NC031,小汽车,
北进口,北进口_20260420075959至20260420081500.mp111,1941,北进口主断面,到达,non_motor,L4,N070,电动车,
北进口,北进口_20260420075959至20260420081500.mp112,1946,北进口主断面,到达,car,L3,NC032,小汽车,
北进口,北进口_20260420075959至20260420081500.mp113,1947,北进口主断面,离去,car,opposite,NC033,面包车,
北进口,北进口_20260420075959至20260420081500.mp114,1950,北进口主断面,离去,truck,opposite,NT004,货车,
北进口,北进口_20260420075959至20260420081500.mp115,1976,北进口主断面,到达,non_motor,L4,N071,电动车,
北进口,北进口_20260420075959至20260420081500.mp116,1985,北进口主断面,离去,car,opposite,NC034,面包车,
北进口,北进口_20260420075959至20260420081500.mp117,2009,北进口主断面,到达,car,L2,NC035,小汽车,
北进口,北进口_20260420075959至20260420081500.mp118,2017,北进口主断面,到达,car,L3,NC036,小汽车,
北进口,北进口_20260420075959至20260420081500.mp119,2028,北进口主断面,离去,car,opposite,NC037,小汽车,
北进口,北进口_20260420075959至20260420081500.mp120,2028,北进口主断面,离去,car,opposite,NC038,小汽车,
北进口,北进口_20260420075959至20260420081500.mp121,2053,北进口主断面,离去,truck,opposite,NT005,货运皮卡,
北进口,北进口_20260420075959至20260420081500.mp122,2056,北进口主断面,到达,non_motor,L4,N072,自行车,
北进口,北进口_20260420075959至20260420081500.mp123,2059,北进口主断面,到达,car,L3,NC039,小汽车,
北进口,北进口_20260420075959至20260420081500.mp124,2088,北进口主断面,离去,car,opposite,NC040,小汽车,
北进口,北进口_20260420075959至20260420081500.mp125,2120,北进口主断面,到达,car,L2,NC041,小汽车,
北进口,北进口_20260420075959至20260420081500.mp126,2120,北进口主断面,到达,car,L3,NC042,小汽车,
北进口,北进口_20260420075959至20260420081500.mp127,2129,北进口主断面,离去,car,opposite,NC043,面包车,
北进口,北进口_20260420075959至20260420081500.mp128,2157,北进口主断面,到达,non_motor,L4,N073,电动车,
北进口,北进口_20260420075959至20260420081500.mp129,2164,北进口主断面,离去,car,opposite,NC044,面包车,
北进口,北进口_20260420075959至20260420081500.mp130,2181,北进口主断面,离去,car,opposite,NC045,小汽车,
北进口,北进口_20260420075959至20260420081500.mp131,2205,北进口主断面,到达,non_motor,L4,N074,电动车,
北进口,北进口_20260420075959至20260420081500.mp132,2206,北进口主断面,到达,truck,L2,NT006,货车,
北进口,北进口_20260420075959至20260420081500.mp133,2218,北进口主断面,离去,car,opposite,NC046,小汽车,
